date,value
2009-09-20,0.01
2009-09-27,0.01
2009-10-05,0.02
2009-10-06,0.01
2009-10-07,0.03
2009-10-07,0.04
2009-10-11,0.03
2009-10-11,0.02
2009-10-12,0.01
2009-10-13,0.02
2009-10-14,0.01
2009-10-15,0.01
2009-10-17,0.02
2009-10-19,0.01
2009-10-19,0.02
2009-10-20,0.01
2009-10-21,0.02
2009-10-21,0.03
2009-10-22,0.02
2009-10-22,0.01
2009-10-22,0.02
2009-10-22,0.03
2009-10-25,0.04
2009-10-25,0.03
2009-10-26,0.04
2009-10-26,0.03
2009-10-26,0.04
2009-10-26,0.05
2009-10-26,0.04
2009-10-27,0.03
2009-10-27,0.04
2009-10-27,0.02
2009-10-27,0.03
2009-10-27,0.02
2009-10-28,0.03
2009-10-29,0.02
2009-10-29,0.01
2009-10-30,0.01
2009-10-30,0.03
2009-10-30,0.04
2009-10-31,0.02
2009-10-31,0.01
2009-11-01,0.02
2009-11-01,0.01
2009-11-01,0.02
2009-11-01,0.01
2009-11-02,0.01
2009-11-02,0.02
2009-11-03,0.03
2009-11-03,0.02
2009-11-04,0.03
2009-11-06,0.04
2009-11-07,0.05
2009-11-08,0.06
2009-11-08,0.05
2009-11-09,0.06
2009-11-10,0.07
2009-11-10,0.09
2009-11-11,0.1
2009-11-11,0.12
2009-11-11,0.13
2009-11-11,0.12
2009-11-11,0.11
2009-11-11,0.1
2009-11-11,0.13
2009-11-11,0.14
2009-11-12,0.13
2009-11-12,0.14
2009-11-12,0.15
2009-11-12,0.16
2009-11-13,0.17
2009-11-13,0.16
2009-11-13,0.17
2009-11-14,0.16
2009-11-14,0.17
2009-11-14,0.16
2009-11-15,0.15
2009-11-15,0.13
2009-11-15,0.14
2009-11-15,0.13
2009-11-15,0.12
2009-11-16,0.13
2009-11-16,0.12
2009-11-16,0.09
2009-11-16,0.1
2009-11-16,0.09
2009-11-16,0.07
2009-11-17,0.05
2009-11-17,0.03
2009-11-17,0.02
2009-11-17,0.03
2009-11-17,0.04
2009-11-17,0.05
2009-11-18,0.06
2009-11-18,0.07
2009-11-18,0.06
2009-11-19,0.07
2009-11-20,0.08
2009-11-20,0.09
2009-11-20,0.1
2009-11-20,0.09
2009-11-21,0.08
2009-11-21,0.09
2009-11-21,0.1
2009-11-21,0.09
2009-11-21,0.1
2009-11-22,0.11
2009-11-22,0.1
2009-11-22,0.07
2009-11-23,0.08
2009-11-23,0.09
2009-11-23,0.1
2009-11-24,0.09
2009-11-24,0.08
2009-11-24,0.09
2009-11-24,0.1
2009-11-25,0.11
2009-11-25,0.1
2009-11-25,0.08
2009-11-25,0.07
2009-11-25,0.06
2009-11-26,0.05
2009-11-27,0.04
2009-11-27,0.03
2009-11-28,0.04
2009-11-29,0.03
2009-11-29,0.04
2009-11-29,0.03
2009-11-29,0.04
2009-11-29,0.02
2009-11-30,0.03
2009-11-30,0.04
2009-11-30,0.05
2009-11-30,0.03
2009-12-01,0.04
2009-12-01,0.03
2009-12-01,0.02
2009-12-01,0.03
2009-12-01,0.04
2009-12-01,0.06
2009-12-02,0.08
2009-12-02,0.07
2009-12-02,0.06
2009-12-03,0.07
2009-12-04,0.08
2009-12-05,0.07
2009-12-05,0.08
2009-12-06,0.07
2009-12-06,0.06
2009-12-06,0.03
2009-12-07,0.04
2009-12-07,0.05
2009-12-07,0.06
2009-12-07,0.05
2009-12-07,0.04
2009-12-07,0.02
2009-12-08,0.03
2009-12-09,0.02
2009-12-09,0.03
2009-12-09,0.04
2009-12-09,0.03
2009-12-09,0.04
2009-12-10,0.05
2009-12-10,0.04
2009-12-10,0.05
2009-12-10,0.06
2009-12-10,0.07
2009-12-11,0.03
2009-12-11,0.05
2009-12-11,0.04
2009-12-11,0.05
2009-12-11,0.06
2009-12-11,0.05
2009-12-12,0.04
2009-12-12,0.03
2009-12-12,0.05
2009-12-13,0.04
2009-12-13,0.05
2009-12-13,0.04
2009-12-13,0.05
2009-12-13,0.04
2009-12-14,0.06
2009-12-14,0.05
2009-12-14,0.06
2009-12-14,0.07
2009-12-14,0.06
2009-12-14,0.07
2009-12-15,0.06
2009-12-15,0.07
2009-12-15,0.06
2009-12-15,0.07
2009-12-15,0.08
2009-12-16,0.09
2009-12-16,0.08
2009-12-16,0.07
2009-12-16,0.06
2009-12-16,0.07
2009-12-16,0.06
2009-12-17,0.07
2009-12-17,0.08
2009-12-17,0.07
2009-12-17,0.08
2009-12-17,0.09
2009-12-17,0.08
2009-12-18,0.1
2009-12-18,0.09
2009-12-18,0.1
2009-12-18,0.07
2009-12-18,0.08
2009-12-18,0.07
2009-12-18,0.08
2009-12-19,0.1
2009-12-19,0.09
2009-12-19,0.08
2009-12-19,0.09
2009-12-19,0.08
2009-12-20,0.09
2009-12-20,0.08
2009-12-20,0.09
2009-12-20,0.08
2009-12-21,0.06
2009-12-21,0.07
2009-12-21,0.08
2009-12-21,0.09
2009-12-22,0.08
2009-12-22,0.07
2009-12-22,0.08
2009-12-23,0.09
2009-12-24,0.1
2009-12-25,0.09
2009-12-25,0.08
2009-12-25,0.09
2009-12-25,0.1
2009-12-25,0.08
2009-12-26,0.09
2009-12-27,0.06
2009-12-27,0.07
2009-12-27,0.1
2009-12-27,0.09
2009-12-27,0.1
2009-12-29,0.11
2009-12-30,0.1
2009-12-30,0.09
2009-12-31,0.1
2009-12-31,0.09
2010-01-01,0.04
2010-01-01,0.03
2010-01-01,0.02
2010-01-01,0.03
2010-01-01,0.04
2010-01-01,0.03
2010-01-01,0.02
2010-01-01,0.03
2010-01-02,0.04
2010-01-02,0.05
2010-01-03,0.04
2010-01-03,0.05
2010-01-03,0.04
2010-01-03,0.05
2010-01-04,0.04
2010-01-04,0.05
2010-01-05,0.06
2010-01-05,0.07
2010-01-05,0.06
2010-01-05,0.07
2010-01-05,0.08
2010-01-06,0.07
2010-01-06,0.08
2010-01-07,0.07
2010-01-07,0.06
2010-01-08,0.07
2010-01-08,0.08
2010-01-09,0.07
2010-01-09,0.08
2010-01-09,0.09
2010-01-09,0.07
2010-01-09,0.09
2010-01-09,0.08
2010-01-09,0.09
2010-01-10,0.1
2010-01-10,0.11
2010-01-10,0.09
2010-01-10,0.1
2010-01-10,0.11
2010-01-10,0.1
2010-01-11,0.09
2010-01-11,0.1
2010-01-11,0.09
2010-01-11,0.1
2010-01-11,0.11
2010-01-12,0.1
2010-01-12,0.11
2010-01-12,0.12
2010-01-12,0.14
2010-01-13,0.16
2010-01-13,0.15
2010-01-13,0.14
2010-01-14,0.13
2010-01-14,0.14
2010-01-14,0.13
2010-01-14,0.14
2010-01-14,0.15
2010-01-15,0.16
2010-01-15,0.13
2010-01-15,0.12
2010-01-15,0.11
2010-01-15,0.12
2010-01-15,0.13
2010-01-15,0.12
2010-01-16,0.11
2010-01-16,0.12
2010-01-16,0.13
2010-01-17,0.12
2010-01-17,0.11
2010-01-17,0.12
2010-01-17,0.1
2010-01-17,0.11
2010-01-17,0.1
2010-01-17,0.11
2010-01-18,0.12
2010-01-18,0.13
2010-01-18,0.12
2010-01-18,0.11
2010-01-18,0.1
2010-01-19,0.11
2010-01-19,0.1
2010-01-19,0.11
2010-01-19,0.1
2010-01-19,0.11
2010-01-19,0.12
2010-01-19,0.13
2010-01-19,0.1
2010-01-20,0.09
2010-01-20,0.1
2010-01-20,0.08
2010-01-20,0.09
2010-01-20,0.08
2010-01-20,0.07
2010-01-21,0.08
2010-01-21,0.07
2010-01-21,0.08
2010-01-21,0.07
2010-01-21,0.08
2010-01-22,0.09
2010-01-22,0.1
2010-01-23,0.09
2010-01-23,0.08
2010-01-23,0.07
2010-01-23,0.08
2010-01-23,0.09
2010-01-24,0.1
2010-01-24,0.11
2010-01-25,0.12
2010-01-25,0.13
2010-01-25,0.14
2010-01-26,0.13
2010-01-26,0.12
2010-01-26,0.13
2010-01-26,0.14
2010-01-26,0.13
2010-01-26,0.1
2010-01-26,0.11
2010-01-26,0.1
2010-01-27,0.11
2010-01-27,0.1
2010-01-27,0.09
2010-01-27,0.1
2010-01-27,0.11
2010-01-28,0.13
2010-01-28,0.15
2010-01-28,0.16
2010-01-28,0.15
2010-01-28,0.14
2010-01-28,0.13
2010-01-28,0.1
2010-01-28,0.12
2010-01-28,0.13
2010-01-28,0.12
2010-01-29,0.11
2010-01-29,0.1
2010-01-29,0.12
2010-01-29,0.07
2010-01-29,0.05
2010-01-29,0.06
2010-01-30,0.08
2010-01-30,0.09
2010-01-30,0.1
2010-01-30,0.11
2010-01-30,0.1
2010-01-30,0.11
2010-01-30,0.1
2010-01-31,0.11
2010-01-31,0.12
2010-02-01,0.11
2010-02-01,0.1
2010-02-01,0.09
2010-02-01,0.1
2010-02-01,0.09
2010-02-01,0.08
2010-02-01,0.09
2010-02-01,0.08
2010-02-01,0.09
2010-02-02,0.07
2010-02-02,0.08
2010-02-02,0.07
2010-02-02,0.06
2010-02-02,0.07
2010-02-02,0.06
2010-02-02,0.05
2010-02-02,0.04
2010-02-02,0.05
2010-02-02,0.06
2010-02-02,0.07
2010-02-03,0.06
2010-02-03,0.07
2010-02-03,0.06
2010-02-03,0.07
2010-02-03,0.06
2010-02-03,0.05
2010-02-05,0.06
2010-02-05,0.07
2010-02-05,0.09
2010-02-05,0.08
2010-02-05,0.07
2010-02-06,0.02
2010-02-06,0.04
2010-02-06,0.05
2010-02-06,0.06
2010-02-06,0.05
2010-02-06,0.07
2010-02-06,0.06
2010-02-07,0.07
2010-02-07,0.08
2010-02-07,0.07
2010-02-07,0.06
2010-02-07,0.03
2010-02-07,0.02
2010-02-08,0.01
2010-02-08,0.02
2010-02-08,0.03
2010-02-08,0.02
2010-02-09,0.01
2010-02-09,0.02
2010-02-09,0.03
2010-02-10,0.04
2010-02-10,0.05
2010-02-10,0.06
2010-02-10,0.04
2010-02-10,0.05
2010-02-10,0.06
2010-02-11,0.05
2010-02-11,0.03
2010-02-11,0.02
2010-02-11,0.03
2010-02-11,0.04
2010-02-11,0.05
2010-02-11,0.06
2010-02-12,0.04
2010-02-12,0.05
2010-02-12,0.06
2010-02-12,0.05
2010-02-12,0.06
2010-02-13,0.05
2010-02-14,0.06
2010-02-14,0.07
2010-02-14,0.06
2010-02-15,0.05
2010-02-16,0.04
2010-02-16,0.05
2010-02-16,0.03
2010-02-16,0.04
2010-02-17,0.03
2010-02-17,0.04
2010-02-17,0.03
2010-02-18,0.05
2010-02-18,0.06
2010-02-18,0.05
2010-02-18,0.04
2010-02-18,0.05
2010-02-18,0.04
2010-02-19,0.03
2010-02-19,0.04
2010-02-20,0.05
2010-02-20,0.04
2010-02-20,0.03
2010-02-20,0.04
2010-02-20,0.05
2010-02-20,0.04
2010-02-21,0.05
2010-02-21,0.06
2010-02-22,0.05
2010-02-22,0.04
2010-02-22,0.05
2010-02-23,0.04
2010-02-23,0.05
2010-02-24,0.04
2010-02-24,0.05
2010-02-25,0.06
2010-02-25,0.05
2010-02-25,0.06
2010-02-25,0.05
2010-02-25,0.06
2010-02-25,0.07
2010-02-25,0.08
2010-02-25,0.07
2010-02-25,0.08
2010-02-25,0.06
2010-02-26,0.05
2010-02-26,0.06
2010-02-26,0.05
2010-02-26,0.06
2010-02-26,0.07
2010-02-26,0.05
2010-02-26,0.06
2010-02-26,0.08
2010-02-27,0.09
2010-02-27,0.08
2010-02-27,0.07
2010-02-28,0.08
2010-03-01,0.07
2010-03-01,0.06
2010-03-02,0.07
2010-03-02,0.06
2010-03-02,0.07
2010-03-03,0.08
2010-03-03,0.09
2010-03-04,0.1
2010-03-04,0.11
2010-03-04,0.12
2010-03-04,0.11
2010-03-04,0.1
2010-03-04,0.09
2010-03-04,0.1
2010-03-05,0.11
2010-03-05,0.1
2010-03-05,0.11
2010-03-05,0.1
2010-03-06,0.11
2010-03-06,0.1
2010-03-06,0.11
2010-03-07,0.1
2010-03-08,0.11
2010-03-08,0.1
2010-03-08,0.09
2010-03-08,0.1
2010-03-08,0.11
2010-03-08,0.12
2010-03-08,0.11
2010-03-08,0.12
2010-03-09,0.11
2010-03-10,0.12
2010-03-10,0.11
2010-03-10,0.12
2010-03-10,0.11
2010-03-10,0.1
2010-03-11,0.09
2010-03-11,0.08
2010-03-11,0.09
2010-03-11,0.1
2010-03-12,0.09
2010-03-12,0.1
2010-03-12,0.07
