date,value
2009-09-20,1999.99
2009-09-27,3999.0
2009-09-29,3499.0
2009-10-05,2999.99
2009-10-06,3399.99
2009-10-06,3199.99
2009-10-07,3188.0
2009-10-09,3000.0
2009-10-11,3188.0
2009-10-11,3099.0
2009-10-12,3188.0
2009-10-13,2900.0
2009-10-14,3099.0
2009-10-14,3399.0
2009-10-15,3499.0
2009-10-16,2499.99
2009-10-17,3498.0
2009-10-17,3444.99
2009-10-19,3499.0
2009-10-19,3444.99
2009-10-20,3439.99
2009-10-20,3499.0
2009-10-21,3439.99
2009-10-21,3416.98
2009-10-22,3499.0
2009-10-22,3416.98
2009-10-24,3399.99
2009-10-25,2999.99
2009-10-26,3399.0
2009-10-26,2999.99
2009-10-26,3399.0
2009-10-27,2999.99
2009-10-27,3399.0
2009-10-28,3299.0
2009-10-28,3399.99
2009-10-28,2799.0
2009-10-29,3299.99
2009-10-30,3399.99
2009-10-30,3299.99
2009-10-30,3199.99
2009-10-30,3089.0
2009-10-31,2990.0
2009-10-31,3399.0
2009-11-01,3190.0
2009-11-01,3399.0
2009-11-01,3299.99
2009-11-02,3299.99
2009-11-02,3099.99
2009-11-04,2899.0
2009-11-05,2905.99
2009-11-08,2897.0
2009-11-09,2799.99
2009-11-10,2749.99
2009-11-10,2699.99
2009-11-10,2589.99
2009-11-11,2588.99
2009-11-11,2588.0
2009-11-11,2499.99
2009-11-11,2480.0
2009-11-12,2473.01
2009-11-12,2439.99
2009-11-12,2389.0
2009-11-12,2329.0
2009-11-13,2322.01
2009-11-13,2319.0
2009-11-13,2279.99
2009-11-13,2259.99
2009-11-14,2149.99
2009-11-14,2148.88
2009-11-14,2149.99
2009-11-15,2139.99
2009-11-16,2149.99
2009-11-17,2399.99
2009-11-17,2150.0
2009-11-17,2880.0
2009-11-17,2799.0
2009-11-18,2794.99
2009-11-18,2793.99
2009-11-19,2700.0
2009-11-19,2699.99
2009-11-19,2699.0
2009-11-20,2649.99
2009-11-20,2699.0
2009-11-22,2698.99
2009-11-23,2599.0
2009-11-23,2499.0
2009-11-24,2479.99
2009-11-24,2599.99
2009-11-24,2594.99
2009-11-25,2399.0
2009-11-25,2594.99
2009-11-25,2700.0
2009-11-26,2699.0
2009-11-27,2599.0
2009-11-27,2750.0
2009-11-27,2880.0
2009-11-28,2799.99
2009-11-28,2699.99
2009-11-29,2599.99
2009-11-29,2499.99
2009-11-29,2874.99
2009-11-29,2880.0
2009-11-30,2700.0
2009-11-30,2399.99
2009-11-30,2700.0
2009-12-01,2874.99
2009-12-01,2880.0
2009-12-01,2700.0
2009-12-02,2699.99
2009-12-02,2548.0
2009-12-02,2500.0
2009-12-07,2399.95
2009-12-07,2500.0
2009-12-07,2999.99
2009-12-09,2980.0
2009-12-09,2999.99
2009-12-09,2899.99
2009-12-10,2399.95
2009-12-10,2899.99
2009-12-10,2899.98
2009-12-10,2889.99
2009-12-10,2688.0
2009-12-10,2499.95
2009-12-11,2980.0
2009-12-11,2688.0
2009-12-11,2974.99
2009-12-11,2499.95
2009-12-11,2799.96
2009-12-12,2899.0
2009-12-12,2999.99
2009-12-12,2899.99
2009-12-12,2999.99
2009-12-13,2591.46
2009-12-13,2591.45
2009-12-13,2799.99
2009-12-13,2749.99
2009-12-13,3099.0
2009-12-14,2749.99
2009-12-14,2699.99
2009-12-14,2499.99
2009-12-14,2650.0
2009-12-16,2649.99
2009-12-16,2650.0
2009-12-16,2980.0
2009-12-17,2749.99
2009-12-17,2699.99
2009-12-17,2599.95
2009-12-17,2499.95
2009-12-17,2699.0
2009-12-18,2649.99
2009-12-18,2590.49
2009-12-18,2499.95
2009-12-18,2980.0
2009-12-18,2599.0
2009-12-19,2588.0
2009-12-20,2548.0
2009-12-21,2549.0
2009-12-21,2599.0
2009-12-22,2599.95
2009-12-22,2599.0
2009-12-27,2750.0
2009-12-27,2599.0
2009-12-27,2589.99
2009-12-28,2589.93
2009-12-28,2589.91
2009-12-29,2589.89
2009-12-29,2589.87
2009-12-30,2589.86
2009-12-30,2581.37
2009-12-30,2589.87
2009-12-30,2589.86
2009-12-31,2589.85
2009-12-31,2581.37
2009-12-31,2581.35
2009-12-31,2581.33
2009-12-31,2581.31
2010-01-01,3099.0
2010-01-01,3274.99
2010-01-01,2799.99
2010-01-01,2899.99
2010-01-01,3274.99
2010-01-02,3099.0
2010-01-02,3090.36
2010-01-02,2999.99
2010-01-03,3090.36
2010-01-03,2300.0
2010-01-03,2200.0
2010-01-03,2599.95
2010-01-05,2589.99
2010-01-06,2214.99
2010-01-06,2200.0
2010-01-06,2149.99
2010-01-07,2175.0
2010-01-07,2299.0
2010-01-08,2249.99
2010-01-08,2200.0
2010-01-09,2249.99
2010-01-09,2224.98
2010-01-09,2200.0
2010-01-09,2798.99
2010-01-09,2399.0
2010-01-09,2398.99
2010-01-10,2398.98
2010-01-10,2398.99
2010-01-10,2299.99
2010-01-10,2275.0
2010-01-10,2199.99
2010-01-10,2449.99
2010-01-11,2441.5
2010-01-11,2439.99
2010-01-12,2436.49
2010-01-12,2435.49
2010-01-12,2439.99
2010-01-12,2425.0
2010-01-12,2416.5
2010-01-12,2411.49
2010-01-13,2289.37
2010-01-13,2391.49
2010-01-13,2391.48
2010-01-14,2249.99
2010-01-14,2299.99
2010-01-14,2199.0
2010-01-14,2198.0
2010-01-15,2195.0
2010-01-15,2198.0
2010-01-15,2199.0
2010-01-15,2299.99
2010-01-15,2348.99
2010-01-15,2349.98
2010-01-16,2298.99
2010-01-16,2249.0
2010-01-17,2298.99
2010-01-17,2400.0
2010-01-17,2439.99
2010-01-17,2448.49
2010-01-17,2299.0
2010-01-18,2279.99
2010-01-18,2200.0
2010-01-18,2279.99
2010-01-18,2448.49
2010-01-18,2448.0
2010-01-19,2425.0
2010-01-19,2299.99
2010-01-19,2425.0
2010-01-19,2424.99
2010-01-19,2409.99
2010-01-19,2399.99
2010-01-19,2389.99
2010-01-19,2409.99
2010-01-21,2425.0
2010-01-21,2409.99
2010-01-21,2425.0
2010-01-21,2409.99
2010-01-22,2441.99
2010-01-22,2441.5
2010-01-22,2389.0
2010-01-22,2359.99
2010-01-23,2397.48
2010-01-24,2397.0
2010-01-24,2359.99
2010-01-25,2350.0
2010-01-25,2340.99
2010-01-25,2350.0
2010-01-25,2325.0
2010-01-26,2299.99
2010-01-26,2350.0
2010-01-26,2325.0
2010-01-26,2300.0
2010-01-26,2295.0
2010-01-26,2350.0
2010-01-26,2349.69
2010-01-26,2299.69
2010-01-26,2350.0
2010-01-27,2299.99
2010-01-27,2350.0
2010-01-27,2383.48
2010-01-27,2371.99
2010-01-27,2380.48
2010-01-27,2371.98
2010-01-28,2368.99
2010-01-28,2360.0
2010-01-28,2289.63
2010-01-28,2299.99
2010-01-28,2300.0
2010-01-28,2350.0
2010-01-28,2349.99
2010-01-28,2344.99
2010-01-29,2341.49
2010-01-29,2349.99
2010-01-29,2341.49
2010-01-29,2350.0
2010-01-29,2349.99
2010-01-29,2350.0
2010-01-29,2699.0
2010-01-29,2679.97
2010-01-30,2499.95
2010-01-30,2491.45
2010-01-30,2490.0
2010-01-30,2481.5
2010-01-30,2450.0
2010-01-30,2441.5
2010-01-31,2441.47
2010-01-31,2439.49
2010-02-01,2436.49
2010-02-01,2435.49
2010-02-01,2434.49
2010-02-01,2441.5
2010-02-01,2399.99
2010-02-01,2397.99
2010-02-02,2399.99
2010-02-02,2399.98
2010-02-02,2399.99
2010-02-02,2699.0
2010-02-02,2450.0
2010-02-02,2399.99
2010-02-04,2399.98
2010-02-04,2399.99
2010-02-04,2499.95
2010-02-04,2519.97
2010-02-04,2550.0
2010-02-05,2549.99
2010-02-05,2399.99
2010-02-06,3009.47
2010-02-06,2699.37
2010-02-06,2699.27
2010-02-06,2698.59
2010-02-06,2698.33
2010-02-06,2450.0
2010-02-07,2500.0
2010-02-07,2700.0
2010-02-07,2799.0
2010-02-08,3290.36
2010-02-08,2500.0
2010-02-08,2900.0
2010-02-08,3225.0
2010-02-09,3150.0
2010-02-09,3290.36
2010-02-09,3990.36
2010-02-09,3989.99
2010-02-10,3150.0
2010-02-10,3141.5
2010-02-10,2999.99
