date,value
2009-11-09,3299.0
2009-11-11,2999.0
2009-11-13,2999.0
2009-12-11,2900.0
2009-12-14,2599.0
2009-12-19,2499.99
2009-12-19,2449.99
2009-12-20,2449.99
2009-12-22,2449.99
2010-01-04,2439.95
2010-01-05,2399.95
2010-01-24,2399.95
2010-02-04,2399.95
2010-02-05,2399.95
2010-03-05,3199.0
2010-03-09,3500.0
2010-03-11,3400.0
2010-03-14,3199.0
2010-03-16,3099.99
2010-03-16,2999.0
2010-03-17,2999.0
2010-03-17,2899.0
2010-03-18,3499.95
2010-03-19,3369.99
2010-03-21,3199.99
2010-03-23,3820.0
2010-03-29,3820.0
2010-04-04,3820.0
2010-04-06,3820.0
2010-04-07,3799.99
2010-04-07,3599.99
2010-04-07,3499.99
2010-04-08,3269.99
2010-04-12,3269.99
2010-04-16,3269.99
2010-04-19,2500.0
2010-04-20,2800.0
2010-04-20,3400.0
2010-04-22,2900.0
2010-04-25,3200.0
2010-04-25,2900.0
2010-04-27,2900.0
2010-04-29,2900.0
2010-05-01,3199.0
2010-05-02,2900.0
2010-05-03,3199.0
2010-05-03,2900.0
2010-05-03,3199.0
2010-05-03,2900.0
2010-05-03,3199.0
2010-05-04,2900.0
2010-05-13,3361.99
2010-05-14,3361.99
2010-05-19,2700.0
2010-05-19,2700.0
2010-05-24,2999.0
2010-05-25,2999.0
2010-05-26,2799.0
2010-05-26,2999.0
2010-06-02,3199.0
2010-06-04,3361.99
2010-06-08,3261.99
2010-06-09,3199.99
2010-06-13,3269.99
2010-06-16,3360.0
2010-06-18,3360.0
2010-06-21,2999.99
2010-06-23,2899.99
2010-06-26,2899.99
2010-06-28,2799.99
2010-06-29,2799.99
2010-07-02,2699.99
2010-07-07,2699.99
2010-07-09,2699.99
2010-07-10,2649.99
2010-07-12,3235.89
2010-07-12,2549.99
2010-07-22,2350.0
2010-07-23,2400.0
2010-07-23,2380.0
2010-07-23,2549.99
2010-07-27,2349.99
2010-07-28,2249.99
2010-07-28,2249.99
2010-08-02,2399.99
2010-08-04,2399.99
2010-08-04,2369.99
2010-08-09,2369.99
2010-08-14,2449.99
2010-08-15,2449.99
2010-08-15,2399.99
2010-08-17,2389.99
2010-08-18,2699.99
2010-08-24,2699.99
2010-08-25,2699.97
2010-08-27,2599.99
2010-09-01,2499.99
2010-09-01,2699.97
2010-09-11,2899.99
2010-09-14,2699.99
2010-09-15,2699.99
2010-09-22,3099.99
2010-09-22,3049.99
2010-09-23,2999.99
2010-09-24,2950.0
2010-09-27,2850.0
2010-10-28,2999.0
2010-11-02,3099.99
2010-11-22,3399.99
2010-12-03,2800.0
2010-12-04,3399.99
2010-12-08,2900.0
2010-12-08,3399.99
2010-12-08,2900.0
2010-12-08,3399.99
2010-12-12,3359.97
2010-12-13,3179.99
2010-12-14,3095.0
2010-12-15,2980.0
2010-12-16,3149.97
2010-12-16,2980.0
2010-12-16,3149.97
2010-12-17,2980.0
2010-12-25,2939.97
2010-12-26,2939.95
2010-12-29,3179.99
2010-12-30,2995.0
2011-01-02,2994.99
2011-01-03,2894.99
2011-01-04,2887.47
2011-01-05,2878.0
2011-01-05,2749.0
2011-01-12,2649.0
2011-01-13,2699.0
2011-01-13,2629.99
2011-01-14,2549.0
2011-01-14,2629.99
2011-01-14,2595.9
2011-01-16,2629.99
2011-01-16,2590.0
2011-01-17,3450.0
2011-01-17,2590.0
2011-01-18,2579.99
2011-01-19,2590.0
2011-01-19,2579.0
2011-01-20,2599.99
2011-01-23,2520.0
2011-01-24,2599.99
2011-01-28,2595.48
2011-01-29,2572.47
2011-01-29,2519.97
2011-01-30,2414.97
2011-01-30,2414.96
2011-01-31,2414.95
2011-01-31,2414.96
2011-01-31,2414.95
2011-02-01,2393.97
2011-02-03,2595.48
2011-02-06,2393.97
2011-02-07,2595.48
2011-02-08,2529.99
2011-02-08,2489.99
2011-02-08,2489.98
2011-02-08,2414.97
2011-02-09,2414.96
2011-02-09,2414.95
2011-02-10,2414.97
2011-02-10,2479.99
