date,value
2011-06-12,2232.99
2011-06-13,2232.89
2011-06-15,2230.5
2011-06-18,2227.97
2011-06-19,2224.89
2011-06-22,2199.0
2011-06-29,2189.0
2011-06-30,2188.49
2011-06-30,2187.99
2011-07-02,2185.0
2011-07-06,2172.75
2011-07-06,2172.69
2012-01-15,1999.0
2012-01-28,1999.0
2012-05-12,1999.0
2012-10-17,1999.0
2012-11-06,1999.0
2013-02-17,1999.0
2013-03-22,1999.0
2013-08-24,1999.0
2013-12-17,1999.0
